Instance,GomoryPasses,MIRCuts,FlowCoverCuts,CliqueCuts,Runtime_sec,NodeCount
gen-ip054.mps,0,-1,0,1,120.02123045921326,5873922.0
gen-ip054.mps,0,-1,1,-1,4488.070647478104,4934284.0
gen-ip054.mps,0,-1,1,0,120.04371953010559,3434278.0
gen-ip054.mps,0,-1,1,1,120.01756572723389,3966932.0
gen-ip054.mps,0,0,-1,-1,120.02566885948181,4338784.0
gen-ip054.mps,0,0,-1,0,120.03228211402893,6346720.0
gen-ip054.mps,0,0,-1,1,120.01883316040039,3873450.0
gen-ip054.mps,0,0,0,-1,120.06287741661072,3915947.0
gen-ip054.mps,0,0,0,0,120.03810334205627,3465512.0
gen-ip054.mps,0,0,0,1,120.03320598602295,3230546.0
gen-ip054.mps,0,0,1,-1,120.03575015068054,4019259.0
gen-ip054.mps,0,0,1,0,120.02604675292969,5760879.0
gen-ip054.mps,0,0,1,1,120.02737188339233,5000415.0
gen-ip054.mps,0,1,-1,-1,120.02206182479858,4463043.0
gen-ip054.mps,0,1,-1,0,120.01798963546753,5571715.0
gen-ip054.mps,0,1,-1,1,120.01875615119934,4422125.0
gen-ip054.mps,0,1,0,-1,120.02559065818787,4426736.0
gen-ip054.mps,0,1,0,0,120.03179264068604,4064469.0
gen-ip054.mps,0,1,0,1,120.02283430099487,3280914.0
gen-ip054.mps,0,1,1,-1,120.03096437454224,4003186.0
gen-ip054.mps,0,1,1,0,120.02365565299988,3953608.0
gen-ip054.mps,0,1,1,1,120.02434492111206,4416141.0
gen-ip054.mps,1,-1,-1,-1,120.0284059047699,4662123.0
gen-ip054.mps,1,-1,-1,0,120.02642512321472,4769359.0
gen-ip054.mps,1,-1,-1,1,120.02372884750366,4597074.0
gen-ip054.mps,1,-1,0,-1,120.02853322029114,5275264.0
gen-ip054.mps,1,-1,0,0,120.0392017364502,4718513.0
gen-ip054.mps,1,-1,0,1,120.02383828163147,5591648.0
gen-ip054.mps,1,-1,1,-1,120.02722978591919,5523673.0
gen-ip054.mps,1,-1,1,0,120.02232003211975,5700609.0
gen-ip054.mps,1,-1,1,1,120.02000379562378,5747945.0
gen-ip054.mps,1,0,-1,-1,120.02023673057556,5646054.0
gen-ip054.mps,1,0,-1,0,120.02721214294434,5630229.0
gen-ip054.mps,1,0,-1,1,120.02313351631165,5596982.0
gen-ip054.mps,1,0,0,-1,120.02710199356079,5599589.0
gen-ip054.mps,1,0,0,0,120.02397727966309,5578710.0
gen-ip054.mps,1,0,0,1,120.03184509277344,4685922.0
gen-ip054.mps,1,0,1,-1,120.02328729629517,5516918.0
gen-ip054.mps,1,0,1,0,120.01971983909607,5734162.0
